V080001,V085120,V085120a,V085121,V085121a,V085122,V085122a,V085123,V085123a
1," SHE IS A REPRESENATIVES IN THE HOUSE OF CONGRESS, FROM THE DISTRICT OF SAN FRANSCO, AND IS CURRENTLY THE SPEAKER OF THE HOUSE ",5, DICK CHENEY IS VICE PRESIDENT ,5, //DIRECTOR OF FEMA ,1, CHEIF JUSTICE OF SUPREME COURT ,5
2,,-2,,-2,,-2,,-2
3, //speaker of the house// ,1, vice president ,5, //IR does not recognize the name at all// ,1, //IR does not recognize the name// ,1
4, HOUSE SPEAKER FOR U.S. CONGRESS OR SENATE ,1, HE WORKED FOR GEORGE BUSH FOR SOMETHING ,1, WHO IS GORDON BROWN? ,1, SOMEONE IN GOVERNMENT ,1
5, speaker of the house ,5, vice president ,5, IR does not have a guess ,1, supreme court ,5
6,,-2,,-2,,-2,,-2
7, SPEAKER OF THE HOUSE ,5, VICE PRESIDENT ,5," IR DOES NOT EVEN KNOW WHO HE IS, CAN NOT GUESS ",1," IR DOES NOT KNOW WHO HE IS, THE NAME DOES NOT RING A BELL, IR IS NOT A REAL POLITICAL PERSON AS FAR AS WHO'S WHO.  ",1
8, she is a congressmand out of California ,5, vice president ,5," IR does not have a guess, IR has heard the name before. not sure ",1," IR does not recognize the name, does not know what position he holds now ",1
9, SHE IS ON THE SENATE ,1, VICE PRESIDENT ,5," R HAS NO IDEA, COULD BE A BUS DRIVER FOR ALL SHE KNOWS, NEVER HAS HEARD THAT NAME BEFORE ",1," R DOES NOT CARE TO GUESS, R HAS NEVER HEARD THAT NAME BEFORE ",1
10, SPEAKER OF THE HOUSE ,5, VICE PRESIDENT ,5, R IS NOT FAMILIAR WITH THE NAME OR PERSON//NO ,1," R IS IS NOT FAMILIAR WITH THE PERSON, BUT HAS HEARD THE NAME// ",1
11, SHE IS THE SPEAKER OF THE HOUSE ,5, HE IS VICE PRESIDENT// ,1," // R CAN'T MAKE A GUESS, HIS NAME IS TOTALLY UNFAMILIAR TO HER//NO ",1, //ALABAMA POLITICIAN// ,1
12, SPEAKER OF THE HOUSE ,5, VICE PRESIDENT ,5, RECOGNIZE THE NAME/BUT IR DOES NOT KNOW WHAT OFFICE HE NOW HOLDS ,1, RECOGNIZES THE NAME BUT DOES NOT HAVE ANY IDEA WHAT OFFICE HE NOW HOLDS ,1
13, Head of the House of Representatives ,5, Vice President ,5, don't know ,5, don't know ,5
14, she presides over the ... what's that called... the senators and so forth. ,1, vice president ,5, i'm not familiar with him ,5, one of the big lawyers in the... my mind's gone black... they're all lawyers ,1
15," SHE'S SECRETARY OF STATE, RIGHT?  SHE'S THE ONE WHO'D BE PRESIDENT IF THE PRESIDENT AND VICE PRESIDENT DIES.  i KNOW WHAT HER DUTIES ARE... BUT i CAN'T THINK OF THE NAME OF HER OFFICE.  SHE'S THE ONE I DON'T LIKE.// GOSH i HOPE SHE DOESN'T GET TO BE PRESIDENT// ",1, I DON'T LIKE HIM// SKIP IT// ,5, DON'T KNOW ,5, DON'T KNOW ,5
16, speaker of the house ,5, vice president ,5, don't remember ,5, don't remember ,5
17, DON'T KNOW ,5, NO IDEA ,5, DON'T KNOW ,5, DON'T KNOW ,5
18, don't know ,5, don't know ,5, don't know ,5, don't know ,5
19, SPEAKER OF THE HOUSE ,5, VICE PRESIDENT ,5, DON'T KNOW ,5, CHIEF JUSTICE OF THE US SUPREME COURT ,5
20, speaker of the house ,5, vice president ,5, no idea ,5, chief justice of the supreme court ,5
21," i don't know// i'm not really up to date// i need to be more informed,but I'm not//no ",1, i've heard his name// no ,5, don't know ,5, don't know ,5
22, IR does recognize the name but does not have a guess as to what office she now holds. ,1, Senator ,5," IR does not recognize the name, no guess ",1," IR does not recognize the name, has no guess ",1
23, senate//no ,1, vice president ,5, senate// ,1, house of representatives ,5
24, speaker of the house(friend knew not respondent ,1," we're not into bush did not know what office he held, did hear of his name before ",1, works in the white House?//James brown relative?// ,1, works in the Congress// ,1
25, senator ,1, vice president// ,1, judge//   ,1, representative of republicans// ,1
26,,-2,,-2,,-2,,-2
27, has no idea// ,1, no idea// ,1, no idea// ,1, no idea// ,1
28, congresswoman in Ca. 8th district// ,1, vice president// ,1, congressman// ,1, congressman in house of representatives ,1
29, heard the name but dk//no ,1, vice president ,1, financial advisor ,5, enviorment ,1
30, Secretary of State ,1, vice president ,5, Military ,1, state senate ,5
31, federal reserve ,5, vice president ,5, not a clue ,1, not a clue ,1
32, speaker of the house ,5, vice president ,5, don't know ,1, supreme court ,5
33, speaker of the house ,5, vice president ,5, prime minister of Canada ,5, no idea ,1
34, speaker of the house ,5, vice president ,5, i don't know ,1, supreme court ,5
35, Speaker of the House ,5, Vice President ,5, don't know ,5, don't know ,5
36, no idea ,1, don't know ,1, don't know ,1, don't know ,1
37, speaker of the house ,5, vice president ,5, senator ,5, senator ,5
38, speaker of the house ,5, vice president ,5, secretary of something ,5, secretary of something ,5
39, house of representatives ,1, vice president ,1, secretary of defense ,5, congressman ,5
40, Speaker of the House ,5, Vice President ,5, don't know ,1, Don't know ,1
41, I don't know ,1, I don't know ,1, I don't know ,5, I don't know ,5
42, santa clause ,1, democrat ,5, democrat ,1, democrat ,5
43, senator ,1, congressman ,1, congressman ,1, congressman ,5
44, governor of Alaska ,5, vice president ,5, no idea ,1, supreme court ,5
45, Mayor ,5, Vice president ,5, judge ,5, senator ,5
46, mayor ,1, vice president ,5, senator ,5, house of rep ,5
47, governor ,5, vice president ,5, governor ,1, senator ,5
48, speaker of the house ,5, vice president ,5, prime minister of England ,5, chief justice supreme court ,5
49, Speaker of the House ,5, Vice President ,5, no clue ,1, unknown ,1
50, chief justice ,1, vice president ,5, chief justice ,5, judge ,5
51, chairman of the senate ,5, vice president ,5, no guess ,5, senator ,5
52, speaker of the house ,5, vice president ,5, judge ,1, evangelist ,5
