survey,variable,topic,preamble,question,response_options,interviewer_instructions,modes,conditional,correct_answer,answer_basis,explicit_dk,dk_probe,dyt,wwys,wipo,n_options,dke_preamble,dkd_preamble,happen_to_know,self_placement_dk_filter,old_coding,notes
ANES 2012,LIBCPRE_LCDPC,placement,We hear a lot of talk these days about liberals and conservatives. Here is a seven-point scale on which the political views that people might hold are arranged from extremely liberal to extremely conservative.,Where would you place [preload: dem_pcname] on this scale?,1 Extremely liberal|2 Liberal|3 Slightly liberal|4 Moderate; middle of the road|5 Slightly conservative|6 Conservative|7 Extremely conservative,{DO NOT PROBE DON'T KNOW},FTF interviewer (CAPI); web,,1-3 (liberal side),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,LIBCPRE_LCRPC,placement,We hear a lot of talk these days about liberals and conservatives. Here is a seven-point scale on which the political views that people might hold are arranged from extremely liberal to extremely conservative.,Where would you place [preload: rep_pcname] on this scale?,1 Extremely liberal|2 Liberal|3 Slightly liberal|4 Moderate; middle of the road|5 Slightly conservative|6 Conservative|7 Extremely conservative,{DO NOT PROBE DON'T KNOW},FTF interviewer (CAPI); web,,5-7 (conservative side),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,LIBCPRE_LCPTYD,placement,We hear a lot of talk these days about liberals and conservatives. Here is a seven-point scale on which the political views that people might hold are arranged from extremely liberal to extremely conservative.,Where would you place the Democratic party on this scale?,1 Extremely liberal|2 Liberal|3 Slightly liberal|4 Moderate; middle of the road|5 Slightly conservative|6 Conservative|7 Extremely conservative,{DO NOT PROBE DON'T KNOW},FTF interviewer (CAPI); web,,1-3 (liberal side),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,LIBCPRE_LCPTYR,placement,We hear a lot of talk these days about liberals and conservatives. Here is a seven-point scale on which the political views that people might hold are arranged from extremely liberal to extremely conservative.,Where would you place the Republican party on this scale?,1 Extremely liberal|2 Liberal|3 Slightly liberal|4 Moderate; middle of the road|5 Slightly conservative|6 Conservative|7 Extremely conservative,{DO NOT PROBE DON'T KNOW},FTF interviewer (CAPI); web,,5-7 (conservative side),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,INEQ_INCGAP,economic fact,,"Do you think the difference in incomes between rich people and poor people in the United States today is larger, smaller, or about the same as it was 20 years ago?",Larger|Smaller|About the same,,FTF interviewer (CAPI); web,,Larger,Census Bureau household-income Gini index rose from the early 1990s to 2012,0,0,1,0,0,3,0,0,0,0,,
ANES 2012,ECON_UNPAST,economic fact,,"Would you say that over the past year, the level of unemployment in the country has gotten better, stayed about the same, or gotten worse?",Better|About the same|Worse,,FTF interviewer (CAPI); web,,Better,BLS unemployment rate fell from 9.0% (Sep-Oct 2011) to 7.8-7.9% (Sep-Oct 2012),0,0,0,1,0,3,0,0,0,0,,
ANES 2012,SPSRVPR_SSDPC,placement,"Some people think the government should provide fewer services even in areas such as health and education in order to reduce spending. Suppose these people are at one end of a scale, at point 1. Other people feel it is important for the government to provide many more services even if it means an increase in spending. Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5 or 6.",Where would you place [preload: dem_pcname] on this issue?,1 Govt should provide many fewer services|2|3|4|5|6|7 Govt should provide many more services,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,5-7 (more services),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,SPSRVPR_SSRPC,placement,"Some people think the government should provide fewer services even in areas such as health and education in order to reduce spending. Suppose these people are at one end of a scale, at point 1. Other people feel it is important for the government to provide many more services even if it means an increase in spending. Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5 or 6.",Where would you place [preload: rep_pcname] on this issue?,1 Govt should provide many fewer services|2|3|4|5|6|7 Govt should provide many more services,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,1-3 (fewer services),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,SPSRVPR_SSDEM,placement,"Some people think the government should provide fewer services even in areas such as health and education in order to reduce spending. Suppose these people are at one end of a scale, at point 1. Other people feel it is important for the government to provide many more services even if it means an increase in spending. Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5 or 6.",Where would you place the Democratic Party on this issue?,1 Govt should provide many fewer services|2|3|4|5|6|7 Govt should provide many more services,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,5-7 (more services),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,SPSRVPR_SSREP,placement,"Some people think the government should provide fewer services even in areas such as health and education in order to reduce spending. Suppose these people are at one end of a scale, at point 1. Other people feel it is important for the government to provide many more services even if it means an increase in spending. Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5 or 6.",Where would you place the Republican Party on this issue?,1 Govt should provide many fewer services|2|3|4|5|6|7 Govt should provide many more services,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,1-3 (fewer services),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
