item,year,answer,code,pattern,exclude,note
any,any,,dk,^$|^[?. ]+$|^(a|x|n/?a|na|none|nothing|no|\?+)$|don'?t know|dont know|didn'?t know|do not know|not sure|no idea|no clue|unsure|dunno|idk|can'?t (remember|recall)|cannot (remember|recall|put)|no se|^dk$|not certain|don't recognize|do not recognize|don'?t recall,,Blank or an explicit statement of not knowing; answers that also name an office are coded on the office
sarkozy,2010,President of France,correct,(fran|frenc).*((pr\w*d\w*nt|preisent|prez|pres\b|pres\.)|leader|head|chief)|((pr\w*d\w*nt|preisent|prez|pres\b|pres\.)|leader|head|chief).*(fran|frenc),^(?!.*(pr\w*d\w*nt|preisent|prez|pres\b|pres\.)).*(prime minister|\bpm\b|premier),A hedge that includes president (president or prime minister) counts
sarkozy,2010,President of France,partial,fran|frenc,,French politician or a wrong French office (for example prime minister)
napolitano,2010,Secretary of Homeland Security,correct,homel|home ?land|home security|\bdhs\b,,
napolitano,2010,Secretary of Homeland Security,partial,cabinet|secretary|secy|sec'y|sect'?y|\bsec\b|sec\.|secratary|attorney.?general|attoney general|atternoy general|\bhhs\b|health and human services,,"Any cabinet post in the wrong department, including attorney general"
reid,2010,Senate Majority Leader,correct,(senat|sente|semate|senet).*(majority|leader|head|chief)|(majority|leader|head|chief).*(senat|sente|semate|senet),minority|whip,
reid,2010,Senate Majority Leader,partial,senat|sente|semate|seantor|majority leader,^(?!.*senat).*(house|congressman|congresswoman|representative|\bhor\b),"A senator (for example from Nevada), a Senate whip, or majority leader without the chamber; a House office is incorrect"
merkel,any,Chancellor of Germany,correct,chanc|chacel|chansel|cancel|kansler|kanzler|(germ|greman|gem[ae]r).*(leader|head|prime|prme|premier|\bpm\b|p\.m\.|chief)|(leader|head|prime|premier|\bpm\b|chief).*(germ|greman),,Chancellor alone counts; a German head of government under another name (prime minister) counts
merkel,any,Chancellor of Germany,partial,germ|greman,,German president or politician
mcconnell,2010,Senate Minority Leader,correct,(senat|sente|semate).*(minority|monority|minorty|republican leader|rep leader|head of repub|republican head|head republican|gop leader|leader)|(minority|monority|republican leader|rep leader|head of repub|republican head|head republican|gop leader).*(senat|sente|semate),majority|whip,
mcconnell,2010,Senate Minority Leader,partial,senat|sente|semate|seantor|minority leader|kentucky,^(?!.*senat).*(house|congressman|congresswoman|representative|\bhor\b),"A senator (for example from Kentucky), a Senate whip, or minority leader without the chamber; a House office is incorrect"
mcconnell,2017,Senate Majority Leader,correct,(senat|sente|semate).*(majority|republican leader|leader|head|chief)|(majority|republican leader|leader|head|chief).*(senat|sente|semate),minority|whip,
mcconnell,2017,Senate Majority Leader,partial,senat|sente|semate|seantor|majority leader|kentucky,^(?!.*senat).*(house|congressman|congresswoman|representative|\bhor\b),"A senator (for example from Kentucky), a Senate whip, or majority leader without the chamber; a House office is incorrect"
schumer,2017,Senate Minority Leader,correct,(senat|sente|semate).*(minority|minotiry|minory|democratic leader|democrats|dems|leader|head|chief)|(minority|minotiry|minory|democratic leader|leader).*(senat|sente|semate),majority|whip,
schumer,2017,Senate Minority Leader,partial,senat|sente|semate|seantor|minority leader,^(?!.*senat).*(house|congressman|congresswoman|representative|\bhor\b),"A senator (for example from New York), a Senate whip, or minority leader without the chamber; a House office is incorrect"
putin,2017,President of Russia,correct,(rus+i|russ|ruus).*((pr\w*d\w*nt|preisent|prez|pres\b|pres\.)|leader|head|chief|dictator|ruler|overlord|in charge|czar|tsar|emperor|autocrat)|((pr\w*d\w*nt|preisent|prez|pres\b|pres\.)|leader|leads|head|chief|dictator|ruler|overlord|in charge|czar|tsar|emperor|autocrat).*(rus+i|russ|ruus),^(?!.*((pr\w*d\w*nt|preisent|prez|pres\b|pres\.)|leader|dictator|ruler)).*(prime minister|prime minter|primeminister|\bpm\b|p\.m\.|premier)|ussr|soviet,Any description of him as the head of Russia counts; a hedge that includes president counts
putin,2017,President of Russia,partial,rus+i|russ|ruus|kremlin|ussr|soviet,,"Russian politician, a past Russian office (prime minister), or leader of the Soviet Union"
roberts,2017,Chief Justice of the United States,correct,(chief|cheif|cheief|chef|cief)\b.*(just|judge|supreme|court)|(supreme|scotus).*(chief|cheif|cief|head|lead)|(head|lead|leader)\b.*(supreme|justice)|\bcj\b|cjotsc,associate,Misspellings of chief justice count
roberts,2017,Chief Justice of the United States,partial,supr|sumpr|supereme|justice|judge|jugde|scotus,,A Supreme Court justice or judge without the chief justiceship
pelosi,2017,House Minority Leader,correct,(house|congress|representatives|\bhor\b).*(minority|minoirty|minrity|democratic leader|dem leader|democrats|leader)|(minority|minoirty|minrity|democratic leader|leader).*(house|congress|representatives|\bhor\b),majority|whip|^(?!.*minority).*speaker,
pelosi,2017,House Minority Leader,partial,house|congress|representative|minority leader|speaker,^(?!.*(house|congress|represent)).*(senat|sentate),"A member of the House, a House whip, or a past House office (Speaker); a Senate office is incorrect"
ww2,2010,Soviet Union,correct,russ|rusia|rushia|soviet|ussr|u\.s\.s\.r|sssr,,A hedge that includes the Soviet Union (russia or germany) counts
women_death,2010,Heart disease,correct,heart|cardi|coronary,,"Heart attack, heart failure and cardiovascular disease count; hypertension and stroke alone do not"
